Name,Brand,Price,Image Url,Product Url
DEELUXE Team ID LTD. PF 2021,DEELUXE,289.95,//images.blue-tomato.com/is/image/bluetomato/303921586_front.jpg-vfARR5TsYsbsfqCW-kBSolQ0Ny0/Burton+Photon+BOA+Snowboard+Boots.jpg?$b1$,www.blue-tomato.com/de-DE/product/DEELUXE-Team+ID+LTD+PF+2021+Snowboardboots-615588/
Roxy Feelin Oxblood Red Leopold,Roxy,129.95,//images.blue-tomato.com/is/image/bluetomato/304372980_front.jpg-poECSdH5ZRHNNSExRpiGkCAseMM/Lib+Tech+Travis+Rice+Orca+156+2021+Snowboard.jpg?$b1$,www.blue-tomato.com/de-DE/product/Roxy-Feelin+Oxblood+Red+Leopold+Goggle-615360/
Ride Hera 2021,Ride,289.95,//images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Ride-Hera+2021+Snowboardboots-624731/
Smith Squad Black(+Bonus Lens) Goggle,Smith,99.95,//images.blue-tomato.com/is/image/bluetomato/304342206_front.jpg-oI--iXxk9wEpQZnruN8e49WCrGw/Burton+Cartel+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Smith-Squad+Black+Bonus+Lens+Goggle-627341/
Lib Tech Travis Rice Pro Blunt 153 2021,Lib,599.95,//images.blue-tomato.com/is/image/bluetomato/304300420_front.jpg-vHWP6vyPMsdV9KU9b_jpEH7ryBg/Union+Flite+Pro+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Lib+Tech-Travis+Rice+Pro+Blunt+153+2021+Snowboard-628750/
DC Control Step On 2021,DC,339.95,//images.blue-tomato.com/is/image/bluetomato/304374450_front.jpg-37aiMxiTJFni9IlHCxP1vOooCSc/Giro+Ledge+Helm.jpg?$b1$,www.blue-tomato.com/de-DE/product/DC-Control+Step+On+2021-614783/
Burton Photon BOA Snowboard Boots,Burton,359.95,//images.blue-tomato.com/is/image/bluetomato/304342227_front.jpg-5pgiYlVj8ano7J53QTvUv_-50Q4/Burton+Mission+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Photon+BOA+Snowboard+Boots-567043/
Lib Tech Travis Rice Orca 156 2021,Lib,649.95,//images.blue-tomato.com/is/image/bluetomato/304375216_front.jpg-KOS6BhXMRchKBmopR9VCloAhNV4/Jones+Snowboards+Apollo+Snowboard+Bindung+2021.jpg?$b1$,www.blue-tomato.com/de-DE/product/Lib+Tech-Travis+Rice+Orca+156+2021+Snowboard-628803/
Vans Hi-Standard OG 2021,Vans,229.95,//images.blue-tomato.com/is/image/bluetomato/303920013_front.jpg-2WJVOocZjyJm_Qx6Ebn8nq7JTPw/Burton+Limelight+2020+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587519/
Burton Cartel 2021,Burton,249.95,//images.blue-tomato.com/is/image/bluetomato/303921612_front.jpg-lAB-DkPowcQ4n8j2nQqUIUSQbUo/Burton+Limelight+BOA+Snowboard+Boots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Cartel+2021+Snowboardbindung-622738/
Union Flite Pro 2021,Union,159.95,//images.blue-tomato.com/is/image/bluetomato/304375198_front.jpg-ZbAKrVT2TD_Tm7t61v8JslnZ0Nw/Jones+Snowboards+Solution+161+2021+Splitboard.jpg?$b1$,www.blue-tomato.com/de-DE/product/Union-Flite+Pro+2021+Snowboardbindung-618612/
Giro Ledge Helmet,Giro,79.95,//images.blue-tomato.com/is/image/bluetomato/304300377_front.jpg-qhApz8xT1f2ZaV1NwjXl_x3g0P0/Union+Force+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Giro-Ledge+Helm-628962/
Burton Mission 2021,Burton,199.95,//images.blue-tomato.com/is/image/bluetomato/304370132_front.jpg-7oRUZoMU9o_xLry16oJndMdndb4/Dragon+NFX2+Comp+Bonus+Lens+Goggle.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Mission+2021+Snowboardbindung-622740/
Jones Snowboards Snowboard Bindings 2021,Jones,499.95,//images.blue-tomato.com/is/image/bluetomato/304375226_front.jpg-lH5RxWnuhNUhvnNssRbUE8apaks/Jones+Snowboards+Mercury+Snowboard+Bindung+2021.jpg?$b1$,www.blue-tomato.com/de-DE/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/
Burton Limelight 2020,Burton,289.95,//images.blue-tomato.com/is/image/bluetomato/304371982_front.jpg-l68JKNceYKSsn3HGqQ4jq4qGvks/Vans+Sam+Taxwood+Standard+MTE+Winterschuhe.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Limelight+2020+Snowboardboots-566982/
Burton Limelight BOA Snowboard Boots,Burton,899.95,//images.blue-tomato.com/is/image/bluetomato/303922473_front.jpg-IZiFmPwXprvFllSXv6shBLfqfJw/Burton+Photon+Step+On+2021.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Limelight+BOA+Snowboard+Boots-567044/
