Name,Brand,Price,Image URL,Product URL
Jimmy Choo 'Java' Sneakers,Jimmy Choo,375,https://cdn-images.farfetch-contents.com/15/97/43/99/15974399_29665472_300.jpg,https://www.farfetch.com/de/shopping/men/jimmy-choo-java-sneakers-item-15689191.aspx
Malone Souliers 'Miles' Loafer,Malone Souliers,849,https://cdn-images.farfetch-contents.com/15/86/15/29/15861529_29504938_300.jpg,https://www.farfetch.com/de/shopping/men/malone-souliers-miles-loafer-item-15585496.aspx
Burberry Loafer mit Vintage-Check,Burberry,520,https://cdn-images.farfetch-contents.com/15/86/15/29/15861529_29504944_300.jpg,https://www.farfetch.com/de/shopping/men/burberry-loafer-mit-vintage-check-item-15400453.aspx
Maison Margiela 'Tabi' Loafer,Maison Margiela,820,https://cdn-images.farfetch-contents.com/15/84/43/85/15844385_29602537_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-tabi-loafer-item-15910287.aspx
"Nike SB Dunk High ""Doraemon"" sneakers",Nike,815,https://cdn-images.farfetch-contents.com/15/84/43/85/15844385_29598876_300.jpg,https://www.farfetch.com/de/shopping/men/nike-sb-dunk-high-doraemon-sneakers-item-15855779.aspx
Jimmy Choo 'Hawaii' Sneakers,Jimmy Choo,395,https://cdn-images.farfetch-contents.com/15/44/24/89/15442489_29763782_300.jpg,https://www.farfetch.com/de/shopping/men/jimmy-choo-hawaii-sneakers-item-15689246.aspx
Off-White Sneakers mit Kontrasteinsatz,Off-White,521,https://cdn-images.farfetch-contents.com/15/44/24/89/15442489_29764080_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-sneakers-mit-kontrasteinsatz-item-15934763.aspx
Jordan 'Air Jordan 14 Retro Hyper Royal' Sneakers,Jordan,392,https://cdn-images.farfetch-contents.com/15/68/93/33/15689333_29117948_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-14-retro-hyper-royal-sneakers-item-15817657.aspx
Burberry 'TB' Bikerstiefel,Burberry,820,https://cdn-images.farfetch-contents.com/15/68/93/33/15689333_29114998_300.jpg,https://www.farfetch.com/de/shopping/men/burberry-tb-bikerstiefel-item-15947668.aspx
Scarosso Chelsea-Boots,Scarosso,306,https://cdn-images.farfetch-contents.com/15/92/59/27/15925927_29598804_300.jpg,https://www.farfetch.com/de/shopping/men/scarosso-chelsea-boots-item-14247474.aspx
Jimmy Choo 'Turing' Schnürstiefel,Jimmy Choo,895,https://cdn-images.farfetch-contents.com/15/92/59/27/15925927_29598805_300.jpg,https://www.farfetch.com/de/shopping/men/jimmy-choo-turing-schnurstiefel-item-15689205.aspx
Saint Laurent Stiefel mit spitzer Kappe,Saint Laurent,995,https://cdn-images.farfetch-contents.com/15/91/38/10/15913810_29453152_300.jpg,https://www.farfetch.com/de/shopping/men/saint-laurent-stiefel-mit-spitzer-kappe-item-15967354.aspx
Jimmy Choo 'Diamond' Sneakers,Jimmy Choo,525,https://cdn-images.farfetch-contents.com/15/91/38/10/15913810_29453151_300.jpg,https://www.farfetch.com/de/shopping/men/jimmy-choo-diamond-sneakers-item-15689385.aspx
Valentino Garavani 'Giggies' Sneakers,Valentino Garavani,620,https://cdn-images.farfetch-contents.com/15/96/32/41/15963241_29686832_300.jpg,https://www.farfetch.com/de/shopping/men/valentino-garavani-giggies-sneakers-item-15964179.aspx
Rick Owens DRKSHDW 'Performa' Sneakers,Rick Owens DRKSHDW,500,https://cdn-images.farfetch-contents.com/15/96/32/41/15963241_29686834_300.jpg,https://www.farfetch.com/de/shopping/men/rick-owens-drkshdw-performa-sneakers-item-15959782.aspx
Jordan jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,977,https://cdn-images.farfetch-contents.com/15/39/29/81/15392981_29714716_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15814162.aspx
Valentino Garavani 'Giggies Lovers Language' Sneakers,Valentino Garavani,590,https://cdn-images.farfetch-contents.com/15/39/29/81/15392981_29714719_300.jpg,https://www.farfetch.com/de/shopping/men/valentino-garavani-giggies-lovers-language-sneakers-item-15880700.aspx
Philipp Plein 'Godzilla' Sneakers,Philipp Plein,475,https://cdn-images.farfetch-contents.com/15/68/91/91/15689191_29098134_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-godzilla-sneakers-item-15524503.aspx
adidas 'Yeezy Boost 380 Blue Oat' Sneakers,adidas,532,https://cdn-images.farfetch-contents.com/15/68/91/91/15689191_29096785_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-boost-380-blue-oat-sneakers-item-15750359.aspx
Saint Laurent 'Cole' Stiefeletten mit Reißverschluss,Saint Laurent,895,https://cdn-images.farfetch-contents.com/15/58/54/96/15585496_29659551_300.jpg,https://www.farfetch.com/de/shopping/men/saint-laurent-cole-stiefeletten-mit-reiverschluss-item-15928578.aspx
Jimmy Choo 'Turing' Schnürstiefel mit Nieten,Jimmy Choo,1095,https://cdn-images.farfetch-contents.com/15/58/54/96/15585496_29654981_300.jpg,https://www.farfetch.com/de/shopping/men/jimmy-choo-turing-schnurstiefel-mit-nieten-item-15689175.aspx
Scarosso Stiefel mit Schnalle,Scarosso,275,https://cdn-images.farfetch-contents.com/15/40/04/53/15400453_29573922_300.jpg,https://www.farfetch.com/de/shopping/men/scarosso-stiefel-mit-schnalle-item-14247483.aspx
